S.no,Project,Year,Lender,$ Allocation,Country,Invested On
297,"Container/Vehicle Inspection Systems Project, 51 Machines",2010,CHEXIM,$26M,Ethiopia,Trade
298,Container Scanners Purchase - 13 Units,2008,CHEXIM,$13M,Cape Verde,Trade
299,Customs Inspections Machines,2009,CIDCA,$6M,Central African Republic,Trade
300,Economic Assistance Loan - Container Inspection Equipment,2002,CIDCA,$2M,Mauritius,Trade
301,Afreximbank: Trade and Project Finance,2009,CHEXIM,$100M,Regional,Other commodity
302,Food Research Facility in Kampala,2001,CIDCA,$40M,Uganda,Food
303,Food Security Development,2010,CIDCA,$6M,Eritrea,Food
304,Breakwater at Cabinda Port,2016,CDB,$38M,Angola,Environment
305,Road Transport Support,2004,CHEXIM,$12M,Angola,Transportation
306,"Kipsigak-Serem-Shamakhokho Road, 54km, Loan 3",2002,CIDCA,$6M,Kenya,Transportation
307,"Meskere Sq-Bole Road, 4.3km",2011,CHEXIM,$70M,Ethiopia,Transportation
308,"Abuja Light Rail Project, 78km",2012,CHEXIM,$500M,Nigeria,Transportation
309,Special Train Loan - TAZARA,2002,CIDCA,$6M,Zambia,Transportation
310,"Brazzaville, Ollombo Airport Modernization",2006,CHEXIM,$53M,Republic of Congo,Transportation
311,Yaoundé-Douala Highway - Phase I,2012,CHEXIM,$483M,Cameroon,Transportation
312,Transnet Club Loan - Bank of China 2016,2016,BoC,$219M,South Africa,Transportation
313,"Maputo International Airport Renovation Phase I (CommL part, total 117mn)",2009,CHEXIM,$67M,Mozambique,Transportation
314,Abidjan Port Expansion,2014,CHEXIM,$793M,Cote d'Ivoire,Transportation
315,"Cairo-10th of Ramadan-New Administrative Capital Light Rail, 68km (Second Loan, total $1.2 billion)",2019,CHEXIM,$461M,Egypt,Transportation
316,"Road connecting Blaise-Diagne International Airport (AIBD) to Mbour and Thiès Roads, 55km",2015,CHEXIM,$400M,Senegal,Transportation
317,"Kampala-Entebbe Express Highway, 51km",2011,CHEXIM,$350M,Uganda,Transportation
318,Purchase of 400 Yaxing Buses Import,2003,CHEXIM,$19M,Ghana,Transportation
319,"Kinshasa, Lutendele Avenue Refurbishment, 2.8km",2008,CHEXIM,$21M,Democratic Republic of Congo,Transportation
320,"Nagad-Doraleh Port Railway Ramp (Addis-Djibouti railway continuation), 15km",2010,CN Gov,$36M,Djibouti,Transportation
321,"Port Gentil-Omboue Road and Booue Bridge, 93km, CommL Portion",2013,CHEXIM,$493M,Gabon,Transportation
322,Queen Elizabeth II Quay Update,2017,ICBC,$659M,Sierra Leone,Transportation
323,Rufaa Bridge/Sennar Bridge,2004,CN Gov,$12M,Sudan,Transportation
324,Conakry Municipal Road Construction & Matoto and Kagbelen Flyovers Rehabilitation,2018,ICBC,$212M,Guinea,Transportation
325,"New Lome International Airport (CL Portion, Total 150mn)",2012,CHEXIM,$75M,Togo,Transportation
326,Air Traffic Management System,2018,CHEXIM,$249M,South Sudan,Transportation
327,"Assaba and Brakna, Poverty Delta Highway, Aftout Chergui Road, 172km",2010,CHEXIM,$88M,Mauritania,Transportation
328,Ivato-Tsarasoatra Road Rehabilitation 11km,2018,CHEXIM,$41M,Madagascar,Transportation
329,Purchase of 50 Buses,2008,Kimberley (Chinese Private Company),$18M,Zimbabwe,Transportation
330,"Kivu Belt Lot 4&5; Mwityazo-Ruvumbu-Karongi Road Project, 66km",2012,CHEXIM,$113M,Rwanda,Transportation
331,"Bata-Niefang Road Rehabilitation, 63.345km",2003,CIDCA,$6M,Equatorial Guinea,Transportation
332,Sir Seewoosagur Ramgoolam International Airport (SSR) Upgrade - Passenger Terminal,2009,CHEXIM,$260M,Mauritius,Transportation
333,"Akassato-Bohicon Road Lot 2, 19.26km",2013,CIDCA,$63M,Benin,Transportation
334,DR3602 Omafo-Outapi Road Upgrade 98km,2012,CHEXIM,$85M,Namibia,Transportation
335,Zanzibar Airport Terminal 2,2010,CHEXIM,$73M,Tanzania,Transportation
336,Letlhakeng-Kang Road Section II 133 km (Dutlwe-Kang/Morwamosu),2006,CHEXIM,$19M,Botswana,Transportation
337,Lubango Electricity Network,2002,CHEXIM,$15M,Angola,Power
338,Medupi Coal Power Plant expansion (6X794=4800MW),2017,CDB,$1.5B,South Africa,Power
339,Genale-Dawa III Hydropower Project 3x84.7(254MW),2009,CHEXIM,$270M,Ethiopia,Power
340,Khartoum State Electricity - equipment and spare parts,2002,CHEXIM,$39M,Sudan,Power
341,Chambishi East 330KV/66KV Substation,2009,"China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC) Industrial Zone Development",$11M,Zambia,Power
342,Volta Lake Resettlement Township Electrification Project under the Upper West Electrification project (RMB seller's credit),2000,China International Water & Electric Corporation (CWE),$20M,Ghana,Power
343,"PEBC part- Karuma Hydropower Project 600MW; 400kV Karuma-Kawanda & 400kV Karuma-Olwiyo & 80km Karuma-Lira Transmission Lines, 132kV; 6 Substations 400kV",2015,CHEXIM,$789M,Uganda,Power
344,National Power Grid Upgrade Project Tranche 1,2015,CHEXIM,$170M,Cote d'Ivoire,Power
345,Kinkon Hydropower Project 3.4MW,2006,CN Gov,$4M,Guinea,Power
346,Transmission Transformers,2004,China National Aero-Technology Import and Export Corporation (CATIC),$40M,Zimbabwe,Power
347,Procurement of Power Lines Material Loan 1,2007,CHEXIM,$5M,Kenya,Power
348,Memve'ele Hydropower Project 211 MW,2011,CHEXIM,$542M,Cameroon,Power
349,"Ondo State, Omotosho Gas Power Plant Project 335 MW",2002,China Machinery Engineering Corporation (CMEC),$115M,Nigeria,Power
350,"Tanzania Petroleum Development Corporation (TPDC) Natural Gas Processing Plants and Pipeline, EBC part (Mnazi Bay to Dar es Salaam - Mtwara Province Gas Pipeline, 432km)",2012,CHEXIM,$275M,Tanzania,Power
351,"Malabo Power Grid, Phase 2",2009,CHEXIM,$149M,Equatorial Guinea,Power
352,Energy Transmission Network from Imboulou Hydropower: 780km of 220kV; 91km of 110kV; 350km of 20kV&30kV,2005,China Machinery Engineering Corporation (CMEC),$552M,Republic of Congo,Power
353,"500kV Transmission Line Project 1210km (CDB Part, Total $690mil)",2017,CDB,$231M,Egypt,Power
354,"Study, Supply and Installation Contract for 5,000 Solar Poles and Accessories",2016,CHEXIM,$10M,Democratic Republic of Congo,Power
355,Noor Ouarzazate Solar Power Plant Phase II 200MW,2018,ICBC,$150M,Morocco,Power
356,Libreville Power Grid Upgrade,2011,CHEXIM,$135M,Gabon,Power
357,"28km Dakar Loop Power Transmission Projects, 4x90kV (360kV), Phase II",2010,CHEXIM,$78M,Senegal,Power
358,Sonangol Development,2012,CDB,"$1,000M",Angola,Mining
359,Telecom Transformation and Expansion 7 Circles - Huawei,2013,"Huawei Technologies Co., Ltd.",$800M,Ethiopia,ICT
360,ZTE Nigerian Local Government Rural Telephony Project,2002,Zhongxing Telecommunication Equipment Corporation (ZTE),$82M,Nigeria,ICT
361,Optic Fiber Backbone Network (Construction of CTPhone),2009,CHEXIM,$52M,Cameroon,ICT
362,Optic Fibre Cable Phase II,2011,BoC,$48M,Zambia,ICT
363,"Bengo, Bié, K.Norte, K.Sul, LDA, Malange, and Moxico, New Generation Network, Project 1",2006,CHEXIM,$67M,Angola,ICT
364,University of Ghana Legon ICT-Enabled Distance Learning System Phase I,2008,CHEXIM,$8M,Ghana,ICT
365,National Telecom Phase I,2006,CHEXIM,$85M,Republic of Congo,ICT
366,National Optic Fibre Backbone Infrastructure (NOFBI) Phase I: E-government,2007,CHEXIM,$43M,Kenya,ICT
367,Maluana Data Center,2012,CHEXIM,$135M,Mozambique,ICT
368,NetOne Telecom Network Expansion Phase II,2014,CHEXIM,$219M,Zimbabwe,ICT
369,National Security Communication,2009,CHEXIM,$33M,Senegal,ICT
370,Expansion of Congo China Telecom GSM network,2006,CHEXIM,$31M,Democratic Republic of Congo,ICT
371,E-government,2006,CHEXIM,$9M,Guinea,ICT
372,National ICT Backbone Project (NICTBB) Phase II,2010,CHEXIM,$106M,Tanzania,ICT
373,National Broadband Network,2014,CHEXIM,$65M,Mali,ICT
374,Modernization of National Information and Communication Technologies (NTIC),2019,CHEXIM,$189M,Chad,ICT
375,SMART Burkina Project,2020,CHEXIM,$80M,Burkina Faso,ICT
376,Nation's telecommunications/broadband Infrastructure project for fiber optics and 4G - PDI2T,2015,CHEXIM,$80M,Benin,ICT
377,Telecom Network Expansion Phase 2,2006,CHEXIM,$40M,Togo,ICT
378,Network Modernization Project,2018,CHEXIM,$82M,Comoros,ICT
379,"Gabonese Administration Network (RAG), Phase II",2014,Zhongxing Telecommunication Equipment Corporation (ZTE),$108M,Gabon,ICT
380,New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 2,2004,CIDCA,$2M,Mauritius,ICT
381,Security Communications System,2008,CIDCA,$5M,Uganda,ICT
382,Abidjan Video Surveillance Platform,2016,CHEXIM,$52M,Cote d'Ivoire,ICT
383,Digital Broadcasting Upgrade,2017,CHEXIM,$33M,Burundi,ICT
384,National Optic Fiber Backbone Project,2012,CHEXIM,$15M,Sierra Leone,ICT
385,Econet Telecom Lesotho National Network Project Phase II,2011,CHEXIM,$30M,Central African Republic,ICT
386,Telecom project,2004,CHEXIM,$16M,Tunisia,ICT
387,E-government Phase II,2017,CHEXIM,$13M,Cape Verde,ICT
388,National Mobile Telecom Expansion Phase II (GSM & CDMA Multipurpose Telecom ),2006,Huawei,$18M,Djibouti,ICT
389,Huambo's Water Supply System,2005,CHEXIM,$20M,Angola,Water
390,Douala Water Supply Project - Phase II,2009,CHEXIM,$97M,Cameroon,Water
391,Water equipments,2004,CN Gov,$11M,Sudan,Water
392,Nkana Water and Sanitation,2016,ICBC,$170M,Zambia,Water
393,Abidjan Bonoua Water Supply Phase II,2014,CHEXIM,$89M,Cote d'Ivoire,Water
394,Djibloho Regulation Reservoir,2013,CHEXIM,$201M,Equatorial Guinea,Water
395,Mekelle Water Supply Project - ZIL Part,2018,CIDCA,$79M,Ethiopia,Water
396,Plaines Wilhems Sewage Project Phase II,2003,CHEXIM,$31M,Mauritius,Water
397,Kilamba Kiaxi New Town,2010,ICBC,$2.5B,Angola,Other social
398,National Institute of Sports,2012,CHEXIM,$330M,Equatorial Guinea,Other social
399,Mpila District in Brazzaville - Reconstruction of 200 Housing Units,2012,CHEXIM,$48M,Republic of Congo,Other social
400,Port Gentil Stadium,2015,ICBC,$93M,Gabon,Other social
401,Bingu National Stadium (formerly Joyce Banda National Stadium),2012,CHEXIM,$70M,Malawi,Other social
402,Lusaka National Stadium,2010,CHEXIM,$86M,Zambia,Other social
403,Bafoussam & Limbe Stadiums,2009,CHEXIM,$41M,Cameroon,Other social
404,"Ebimpe, Abidjan, d’Ebimpé d’Abobo Anyama Olympic Stadium",2015,CIDCA,$40M,Cote d'Ivoire,Other social
405,Gaborone BHC houses - 217 Houses,2001,CHEXIM,$3M,Botswana,Other social
406,Kalemie Stadium,2015,CHEXIM,$16M,Democratic Republic of Congo,Other social
407,Côted’Or National Sports Complex in Saint Pierre,2017,CIDCA,$21M,Mauritius,Other social
408,Renovation of Sports Center Kasarani,2010,CN Gov,$12M,Kenya,Other social
409,Les Mamelles Housing Project Phase I - 203 Units,2007,CHEXIM,$14M,Seychelles,Other social
410,Zaire's Integrated Infrastructure Phase I,2007,CHEXIM,$102M,Angola,Multisector
411,"Machinery Supply for the Mining, Agriculture, Transport & Infrastructure Industries, Phase II",2012,CHEXIM,$62M,Eritrea,Multisector
412,"Development in Mining, Water and Other Sectors",2013,CIDCA,$16M,Zimbabwe,Multisector
413,"Tatek, Mugher Cement Enterprise Plant Expansion",2007,CHEXIM,$91M,Ethiopia,Industry
414,N'Djarmaya Oil Refinery,2011,CHEXIM,$330M,Chad,Industry
415,"Agro-processing Projects - 3 Food Cold Storage Warehouses in 3 Cities, 1 Canning Factory, Drip-irrigation PVC Pipe Production Factory",2012,CHEXIM,$101M,Eritrea,Industry
416,"Sukala Sugar Refinery, 3rd Sugar Refinery/N-Sukala",2008,CHEXIM,$73M,Mali,Industry
417,Rehabilitation of Cotton Ginning Factories,2005,CHEXIM,$7M,Sudan,Industry
418,Military Residential Housing Unit (MOD) Project - 4527 units in 3 Provinces,2010,CHEXIM,$366M,Zambia,Defense
419,Purchase of Ghana Armed Forces Equipment,2008,Poly Technologies Inc.,$100M,Ghana,Defense
420,National Defense College in Harare,2011,CHEXIM,$107M,Zimbabwe,Defense
421,Rescue boats and civil defense technical equipment,2017,CIDCA,$15M,Sudan,Defense
422,Oyala (Djibloho) New Capital: 10 Ministerial Buildings,2017,CHEXIM,$208M,Equatorial Guinea,Government
423,Equipment for Phase II of Kenya's National Youth Service Project,2013,CHEXIM,$70M,Kenya,Government
424,Mozambique Chief Prosecutor Attorney General's Office,2011,CHEXIM,$40M,Mozambique,Government
425,"Headquarters of Government, Police Stations, and Warehouses in Cabinda, Phase 1",2016,CDB,$40M,Angola,Government
426,Tembe Na Tembe Administrative Building in Kinshasa,2015,CHEXIM,$34M,Democratic Republic of Congo,Government
427,Ghana-China Tech. & Economic Co-op,2007,CIDCA,$4M,Ghana,Government
428,Kamwala Government Complex Building Interior Construction Project,2009,CHEXIM,$25M,Zambia,Government
429,SMEs,2015,CDB,$100M,Egypt,Banking
430,BDEAC: SMEs,2013,CDB,$41M,Regional,Banking
431,SMEs,2013,CDB,$25M,Ethiopia,Banking
432,BOAD: Private Sector Lending UEMOA Member States,2014,CDB,$125M,Regional,Unallocated
433,Unknown,2003,CIDCA,$5M,Morocco,Unallocated
434,Unknown,2003,CIDCA,$5M,Gabon,Unallocated
435,Unknown,2002,CIDCA,$4M,Sudan,Unallocated
436,Unknown,2011,CIDCA,$8M,Zimbabwe,Unallocated
437,Economic and Financial Agreement,2006,CIDCA,$5M,Cameroon,Unallocated
438,Unknown,2010,CIDCA,$6M,Rwanda,Unallocated
439,Economic and Technical Cooperation,2012,CIDCA,$34M,Mali,Unallocated
440,Unknown,2011,CIDCA,$5M,Ethiopia,Unallocated
441,Economic and Trade cooperation,2005,CIDCA,$2M,Mauritius,Unallocated
442,Unknown,2002,CIDCA,$12M,Egypt,Unallocated
443,economic and technical cooperation,2009,CIDCA,$7M,Burundi,Unallocated
444,Kiffa Health Center Project,2010,CIDCA,$9M,Mauritania,Unallocated
445,Unknown,2006,CIDCA,$1M,Democratic Republic of Congo,Unallocated
446,Agreement on Economic and technical Cooperation,2007,CIDCA,$21M,Zambia,Unallocated
447,"Unknown (""Joint Cooperation Projects"")",2006,CIDCA,$2M,Cote d'Ivoire,Unallocated
448,Unknown,2004,CIDCA,$2M,Guinea,Unallocated
449,"Unknown (""Continuation of Preexisting Projects"")",2013,CIDCA,$25M,Benin,Unallocated
450,Unknown,2012,CIDCA,$10M,Uganda,Unallocated
451,Unknown,2011,CIDCA,$15M,Tanzania,Unallocated
452,Unknown,2013,CIDCA,$16M,Republic of Congo,Unallocated
453,Economic and Technical Cooperation Agreement,2010,CIDCA,$5M,Togo,Unallocated
454,Technical Cooperation Agreement,2005,CIDCA,$5M,Equatorial Guinea,Unallocated
455,Economic and Technical Cooperation,2011,CIDCA,$8M,Kenya,Unallocated
456,Unallocated,2003,CIDCA,$4M,Namibia,Unallocated
457,Economic and Technical Cooperation Agreement,2011,CIDCA,$8M,Djibouti,Unallocated
458,Economic and Technical Cooperation,2012,CIDCA,$9M,Mozambique,Unallocated
459,Economic and Technical Agreement,2002,CIDCA,$6M,Algeria,Unallocated
460,Unknown,2005,CIDCA,$4M,Botswana,Unallocated
461,Unknown,2007,CIDCA,$4M,Central African Republic,Unallocated
462,Agricultural Equipment for MECANAGRO Purchase,2005,CHEXIM,$29M,Angola,Agriculture
463,El Mekabrab Agricultural Scheme - Merowe Resettlement,2003,CN Gov,$35M,Sudan,Agriculture
464,Agricultural Machinery Phase I,2006,CHEXIM,$26M,Zimbabwe,Agriculture
465,Agricultural Machineries,2009,CHEXIM,$20M,Mozambique,Agriculture
466,Green Scheme Programme and Aquaculture Project,2007,CIDCA,$4M,Namibia,Agriculture
467,AFC: General Corporate Purposes,2018,CHEXIM,$200M,Regional,Budget
468,3-Year Syndicated Term Loan to support foreign currency position - CCB,2002,CCB,$27M,South Africa,Budget
469,Overcome Financial Hardship,2004,CIDCA,$2M,Central African Republic,Budget
470,"Quéssua, Malange, Agrarian Institute Rebuild",2005,CHEXIM,$15M,Angola,Education
471,Technical And Vocational Training Laboratories Project (TVET) - Phase II,2017,CHEXIM,$135M,Kenya,Education
472,Reinfontein National Youth Training Centre,2009,CHEXIM,$18M,Namibia,Education
473,"Brazzaville Commercial Center (""Gemini"" Twin Towers)",2014,CHEXIM,$328M,Republic of Congo,Business
474,Hotel Namibe Reconstruction,2013,CHEXIM,$21M,Angola,Business
475,Ambulances Purchase - 86 Units,2005,CHEXIM,$4M,Angola,Health
476,Magnetic Resonance Imaging Equipment Purchase - 20 Units,2015,CDB,$27M,Kenya,Health
477,Chinsali General Hospital Project,2016,ICBC,$136M,Zambia,Health
478,Medical Equipment/Medicine,2012,CHEXIM,$90M,Zimbabwe,Health
479,Victoria Hospital New Operation Theatre - Loan 2,2009,CIDCA,$4M,Mauritius,Health
480,Economic Assistance Loan - X-Ray Scanning Equipment and CCTV Surveillance System,2003,CIDCA,$2M,Mauritius,Trade
481,"Benguela Railway, Huambo Railway, 1344km",2004,CHEXIM,$362M,Angola,Transportation
482,"Nairobi Eastern and Northern Bypass Highway (Nairobi Ring Road), 72km",2008,CHEXIM,$108M,Kenya,Transportation
483,"Addis-Ababa Light Rail, 17.35km",2011,CHEXIM,$475M,Ethiopia,Transportation
484,4 Airports Terminal Expansion Projects,2013,CHEXIM,$500M,Nigeria,Transportation
485,TAZARA,2004,CIDCA,$11M,Zambia,Transportation
486,MA60 Passenger Aircrafts Purchase - 3 Units,2006,CHEXIM,$32M,Republic of Congo,Transportation
487,"MA60 Chinese Aircrafts Purchase, Two Units",2013,CHEXIM,$71M,Cameroon,Transportation
488,Financing capital expenditures and operating activities,2018,ICBC,$265M,South Africa,Transportation
489,"Maputo Ring Road, 74km",2012,CHEXIM,$300M,Mozambique,Transportation
490,"Odienné-Gbéléban Road Asphalting, 71km",2017,CHEXIM,$70M,Cote d'Ivoire,Transportation
491,Building Foundiougne Brigde,2016,CHEXIM,$71M,Senegal,Transportation
492,Entebbe Airport Expansion Phase I,2015,CHEXIM,$194M,Uganda,Transportation
493,Accra Inner City Roads 84 km,2018,Sinohydro Ltd.,$80M,Ghana,Transportation
494,"North Kivu: Beni - Niania Road Refurbishment, 60km",2008,CHEXIM,$57M,Democratic Republic of Congo,Transportation
495,Goubet Salt Port,2012,CHEXIM,$64M,Djibouti,Transportation
496,"Farasol Mbega-Port-Gentil Road, 22 km",2016,CHEXIM,$103M,Gabon,Transportation
497,El Dueim Bridge,2004,CN Gov,$9M,Sudan,Transportation
498,"New Lome International Airport (EBC portion, total 150mn)",2012,CHEXIM,$75M,Togo,Transportation
499,"Expressway connecting the Port of Toamasina and the RN2, 10km",2018,CHEXIM,$59M,Madagascar,Transportation
500,Victoria Falls Airport Renovation,2012,CHEXIM,$164M,Zimbabwe,Transportation
501,"Kigali Urban Road Upgrade Project, 54km",2016,CHEXIM,$71M,Rwanda,Transportation
502,"Micomeseng-Bonkoro Highway, 88.6 km",2017,CHEXIM,$261M,Equatorial Guinea,Transportation
503,"Akassato-Bohicon Road Lot 1, 72.1km",2013,CIDCA,$23M,Benin,Transportation
504,MR67 Omakange-Ruacana Road 86km,2012,CHEXIM,$33M,Namibia,Transportation
505,Letlhakeng-Kang Road Section II Phase II 133 km (Dutlwe-Kang/Morwamosu),2006,CHEXIM,$17M,Botswana,Transportation
506,Namibe and Tombowa Electricity,2002,CHEXIM,$25M,Angola,Power
507,Kusile Power Station and other Eskom Infrastructure,2018,CDB,$1.4B,South Africa,Power
508,"Adama Wind Farm I, 51MW",2010,CHEXIM,$99M,Ethiopia,Power
509,Khartoum State Electricity,2003,CHEXIM,$12M,Sudan,Power
510,"685km, Pensulo to Kasama and Pensulo to Chipata Transmission Lines, 330 kV",2011,ICBC,$285M,Zambia,Power
511,"Upper West Electrification Project, SHEP-4 Phase 1 Supply & Installation of Equipment",2006,China International Water & Electric Corporation (CWE),$81M,Ghana,Power
512,"EBC part- Karuma Hydropower Project 600MW; 400kV Karuma-Kawanda & 400kV Karuma-Olwiyo & 80km Karuma-Lira Transmission Lines, 132kV; 6 Substations 400kV",2015,CHEXIM,$646M,Uganda,Power
513,National Power Grid Upgrade Project Tranche 2,2015,CHEXIM,$580M,Cote d'Ivoire,Power
514,Kaleta Hydropower Project 240MW,2011,CHEXIM,$335M,Guinea,Power
515,"Kariba South Bank Hydropower Extension 300MW (CL portion, total 320mn)",2013,CHEXIM,$160M,Zimbabwe,Power
516,Kenya Power Distribution System Modernization,2009,CHEXIM,$93M,Kenya,Power
517,"Photovoltaic System, Electrification of 350 Communities - Phase I (166 Communities)",2015,CHEXIM,$90M,Cameroon,Power
518,Zungeru Hydroelectric Project 700MW,2013,CHEXIM,$984M,Nigeria,Power
519,"Bata City Power Grid, Phase I",2010,CHEXIM,$300M,Equatorial Guinea,Power
520,Liouesso Hydropower Project 19.9MW,2012,CHEXIM,$110M,Republic of Congo,Power
521,220 KV substation in Kinsuka and Associated Distribution Networks,2018,CHEXIM,$299M,Democratic Republic of Congo,Power
522,"Gouina Hydropower 140MW Project, Senegal Portion",2013,CHEXIM,$146M,Senegal,Power
523,Sonangol Development,2013,CDB,$2.5B,Angola,Mining
524,Telecom Transformation and Expansion 6 Circles - ZTE,2013,Zhongxing Telecommunication Equipment Corporation (ZTE),$300M,Ethiopia,ICT
525,Nigerian Communications Satellite (NIGCOMSAT),2006,CHEXIM,$200M,Nigeria,ICT
526,"350,000 CDMA Lines",2010,CHEXIM,$32M,Cameroon,ICT
527,ZTE Take-over of Libya Lap Green's loans to Zamtel,2014,Zhongxing Telecommunication Equipment Corporation (ZTE),$103M,Zambia,ICT
528,"Benguela, K.Norte, Cunene, Huambo, Uíge, and Zaire, New Generation Network, Project 2",2006,CHEXIM,$61M,Angola,ICT
529,E-government Project Phase I - Data Centre and Wide Area Network (WAN),2009,CHEXIM,$30M,Ghana,ICT
530,Fiber Optic Project,2014,CHEXIM,$74M,Republic of Congo,ICT
531,Enterprise Messaging and Collaboration System,2011,CHEXIM,$49M,Kenya,ICT
532,Digital Migration,2017,CHEXIM,$156M,Mozambique,ICT
533,TelOne Backbone Optic Fibre Network and the Core and Access Network Modernisation Project,2015,CHEXIM,$99M,Zimbabwe,ICT
534,E-government Project Phase 2,2012,CHEXIM,$48M,Senegal,ICT
535,Fiber-Optic Cables Phase I,2008,CHEXIM,$36M,Democratic Republic of Congo,ICT
536,Societe des Telecoms de Guinea (Sotelgui) Equipment,2014,CHEXIM,$50M,Guinea,ICT
537,"National ICT Backbone Project (NICTBB), 1st stage of Phase III",2013,CHEXIM,$94M,Tanzania,ICT
538,Mali Digital 2020 (Mali Numerique 2020),2018,CHEXIM,$164M,Mali,ICT
539,CDMA Transmission Project,2009,CHEXIM,$32M,Togo,ICT
540,New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 3,2005,CIDCA,$5M,Mauritius,ICT
541,National Backbone Data Transmission Project II,2009,CHEXIM,$59M,Uganda,ICT
542,ONAMOB Network Modernization,2017,"Huawei Technologies Co., Ltd.",$30M,Burundi,ICT
543,National Fiber Optic Backbone Project Phase 2,2019,CHEXIM,$30M,Sierra Leone,ICT
544,Tunisie Telecom Project - mobile network,2006,CHEXIM,$6M,Tunisia,ICT
545,"Caxito, Catete and Uíge's Water Supply System",2005,CHEXIM,$19M,Angola,Water
546,"Potable Water Supply Projects in 9 Towns: Bafoussam, Bamenda, Kribi and Sangmelima - Phase I",2013,CHEXIM,$175M,Cameroon,Water
547,El-Fashir Water Supply System Project,2005,CHEXIM,$33M,Sudan,Water
548,Kafulafuta Reservoir Dam Water Supply Project,2016,BoC,$332M,Zambia,Water
549,"Drinking Water Supply Enhancement in 12 Cities (Daloa, Bouafle, Boundiali, Touba, Odienne, Seguela, Mankono, Sassandra, Grand-Lahou, Divo, Katiola, and Tanda)",2019,CHEXIM,$284M,Cote d'Ivoire,Water
550,Mekelle Water Supply Project - PEBC Part,2018,CHEXIM,$156M,Ethiopia,Water
551,Bagatelle Dam,2011,CHEXIM,$92M,Mauritius,Water
552,"Cazenga / Sambizanga, Social Equipments Requalification, Disbursement 3",2011,CDB,$17M,Angola,Other social
553,Oyala (Djibloho) New Capital: 500 Units of Social Housing,2017,CHEXIM,$175M,Equatorial Guinea,Other social
554,264 Social Housing Units in Mpila (Brazzaville),2014,CHEXIM,$55M,Republic of Congo,Other social
555,Oyem Stadium,2015,ICBC,$79M,Gabon,Other social
556,Independence Stadium Western Grandstand Rehabilitation,2010,CHEXIM,$8M,Zambia,Other social
557,Low Cost Social Housing (1500 Units),2011,CHEXIM,$71M,Cameroon,Other social
558,Francistown BHC Houses - 120 Houses,2001,CHEXIM,$2M,Botswana,Other social
559,Goma Stadium Construction,2015,CHEXIM,$12M,Democratic Republic of Congo,Other social
560,East Coast Housing Phase II - 160 Units,2007,CHEXIM,$7M,Seychelles,Other social
561,"Malange's Integrated Infrastructure, Phase I",2007,CHEXIM,$84M,Angola,Multisector
562,"Machinery Supply for the Mining, Agriculture, Transport & Infrastructure Industries, Phase III",2015,CHEXIM,$96M,Eritrea,Multisector
563,Kessem Sugar Factory,2012,CDB,$123M,Ethiopia,Industry
564,"Military Equipment for the ""Transport (Disaster Management)” Project",2010,CHEXIM,$105M,Zambia,Defense
565,"UN Peacekeeping Operations in Darfur, Sudan",2008,Poly Technologies Inc.,$60M,Ghana,Defense
566,Oyala (Djibloho) New Capital: 1200 Units of Presidential Palace Administrative Districts,2017,CHEXIM,$128M,Equatorial Guinea,Government
567,Mozambique Presidential Palace,2013,CHEXIM,$72M,Mozambique,Government
568,Ministry of Energy and Water Training Center & Database,2017,CDB,$36M,Angola,Government
569,Support Country's Development,2007,CIDCA,$5M,Ghana,Government
570,SMEs,2016,CDB,$100M,Egypt,Banking
571,TDB: SMEs,2014,CDB,$60M,Regional,Banking
572,BOAD: Private Sector Activities in the UEMOA Member States,2015,CDB,$109M,Regional,Unallocated
573,Equipment purchase,2008,CHEXIM,$515M,Morocco,Unallocated
574,Unknown,2004,CIDCA,$6M,Gabon,Unallocated
575,Unknown,2004,CHEXIM,$4M,Sudan,Unallocated
576,Unallocated,2012,CHEXIM,$55M,Zimbabwe,Unallocated
577,Economic and Technology Cooperation,2007,CIDCA,$3M,Cameroon,Unallocated
578,Unknown,2011,CIDCA,$13M,Rwanda,Unallocated
579,"Unknown, Humanitarian Aid and Public Works",2013,CIDCA,$8M,Mali,Unallocated
580,Unknown,2012,CIDCA,$16M,Ethiopia,Unallocated
581,Economic and Trade cooperation,2006,CIDCA,$5M,Mauritius,Unallocated
582,Unknown,2004,CIDCA,$30M,Egypt,Unallocated
583,Unknown,2011,CIDCA,$16M,Burundi,Unallocated
584,Unknown,2013,CIDCA,$17M,Mauritania,Unallocated
585,Unknown,2007,CIDCA,$1M,Democratic Republic of Congo,Unallocated
586,"Unknown, Strengthen Bilateral Cooperation",2006,CIDCA,$1M,Cote d'Ivoire,Unallocated
587,Unknown,2005,CIDCA,$18M,Guinea,Unallocated
588,Unknown,2011,CIDCA,$5M,Togo,Unallocated
589,Interest-Free Loan,2005,CIDCA,$5M,Equatorial Guinea,Unallocated
590,Unallocated,2004,CIDCA,$5M,Namibia,Unallocated
591,Unknown,2008,CIDCA,$3M,Botswana,Unallocated
592,"Luena, Caxito, Gangelas, Waco-Kungo Irrigation Projects, Phase I",2005,CHEXIM,$86M,Angola,Agriculture
593,Grain Depot,2005,China Machinery Engineering Corporation (CMEC),$22M,Sudan,Agriculture
